,BBCNews_timestamp,BBCNews_tweet_text,BBCNews_cmpd_sntmt,BBCNews_pos_sntmt,BBCNews_neg_sntmt,BBCNews_neu_sntmt,CBSNews_timestamp,CBSNews_tweet_text,CBSNews_cmpd_sntmt,CBSNews_pos_sntmt,CBSNews_neg_sntmt,CBSNews_neu_sntmt,CNN_timestamp,CNN_tweet_text,CNN_cmpd_sntmt,CNN_pos_sntmt,CNN_neg_sntmt,CNN_neu_sntmt,FoxNews_timestamp,FoxNews_tweet_text,FoxNews_cmpd_sntmt,FoxNews_pos_sntmt,FoxNews_neg_sntmt,FoxNews_neu_sntmt,NYT_timestamp,NYT_tweet_text,NYT_cmpd_sntmt,NYT_pos_sntmt,NYT_neg_sntmt,NYT_neu_sntmt
41,01/07/2018 08:28:05,"RT @BBCSport: 👏

This is one class gesture from Liverpool to fans who have bought Coutinho shirts.

👉 https://t.co/sUrln5pZoW https://t.co/…",0.0,0.0,0.0,1.0,01/08/2018 01:10:58,.@sethmeyers kicks off the #GoldenGlobes discussing the #MeToo movement. Follow for more live updates… https://t.co/mycg0mJSXv,0.0,0.0,0.0,1.0,01/08/2018 02:03:28,"RT @CNNent: ""This Is Me"" wins Best Original Song - Motion Picture for @GreatestShowman #GoldenGlobes
https://t.co/PRHEeV5dRV https://t.co/f…",0.8807,0.44,0.0,0.56,01/08/2018 00:33:00,"De Blasio to travel 'all around' America, denies it's a dry run for WH campaign https://t.co/WkCqvFToHu",-0.4215,0.0,0.167,0.833,01/07/2018 23:03:00,City’s New Public Hospitals Chief Will Focus on Primary Care. https://t.co/dT3Cx88lUe,0.4939,0.242,0.0,0.758
42,01/07/2018 08:22:05,"RT @BBCSport: England are facing another defeat in the final #Ashes Test.

Here's the report from a day once again dominated by Australia:…",-0.4588,0.0,0.125,0.875,01/08/2018 01:04:57,"WATCH NOW: SpaceX attempts launch of Zuma spacecraft in Cape Canaveral, Florida. https://t.co/htkPpJLbdG https://t.co/h5kWEGKX9B",0.0,0.0,0.0,1.0,01/08/2018 02:00:19,"Sorry, cat lovers, there's scientific proof that dogs are smarter https://t.co/9ADu2XYnwu https://t.co/N2MtNJAE9h",0.7269,0.383,0.078,0.539,01/08/2018 00:23:50,".@lindsemcpherson on Dems working with @POTUS: ""Why would they work with him to give him a big win on a legislative… https://t.co/nHF7R084Ww",0.5859,0.167,0.0,0.833,01/07/2018 22:34:00,Boycott Drive Put Israel on a Blacklist. Now Israel Has One of Its Own.. https://t.co/EaqH7muoXV,-0.3182,0.0,0.15,0.85
43,01/07/2018 08:15:52,RT @BBCPolitics: Theresa May: 'Clear message' from country on fox hunting https://t.co/CwnoBivNEX,0.3818,0.191,0.0,0.809,01/08/2018 01:03:31,"""We want to fix that and we feel sort of emboldened in this particular moment to stand together in a thick black li… https://t.co/cmbKpJ1ffm",0.0772,0.056,0.0,0.944,01/08/2018 01:59:46,"RT @CNNent: Alexandre Desplat wins Best Original Score - Motion Picture for @shapeofwater #GoldenGlobes
https://t.co/gCHqdBeTTE https://t.c…",0.8807,0.459,0.0,0.541,01/08/2018 00:23:00,E! replaces 'Who are you wearing' with questions about black attire at the 2018 Golden Globes https://t.co/hiEno9DqMs,0.0,0.0,0.0,1.0,01/07/2018 22:32:00,When the Ice Breaks: Frozen Pond Rescues. https://t.co/j4ax06foZZ,0.3182,0.247,0.0,0.753
44,01/07/2018 07:36:06,Collie dog Red found after 10 days lost in snow in Pembrokeshire https://t.co/fIHRy2Tovo,-0.3182,0.0,0.161,0.839,01/08/2018 00:42:01,The 75th Golden Globe Awards kicked off with a political tone even before the show began as actors and actresses wo… https://t.co/U70LG4tlnM,0.4588,0.13,0.0,0.87,01/08/2018 01:57:54,"RT @CNNent: Alexander Skarsgård wins Best Performance by an Actor in a Supporting Role in a Series, Limited Series or TV Movie for @Big_Lit…",0.872,0.352,0.062,0.586,01/08/2018 00:22:05,".@lindsemcpherson on Dems working with @POTUS: ""Democrats have no real incentive to work with the president when th… https://t.co/ABrQYNfmvj",0.0772,0.115,0.101,0.783,01/07/2018 22:22:00,"Tatsuro Toyoda, Who Led Toyota’s Global Expansion, Dies at 88. https://t.co/T95mPrTSa5",0.0,0.0,0.0,1.0
45,01/07/2018 07:36:03,Ashes: England facing 4-0 defeat against Australia https://t.co/VF5OzdQhax,-0.4588,0.0,0.3,0.7,01/08/2018 00:27:29,RT @CBSThisMorning: In case you missed it on @CBSThisMorning this week: New York Times’ @JodiKantor joined us to discuss tonight’s #TimesUp…,-0.296,0.0,0.099,0.901,01/08/2018 01:56:55,Find out the winners from tonight's #GoldenGlobes as they are announced here: https://t.co/HTybCsUOAw https://t.co/KihLWS28Fg,0.4767,0.193,0.0,0.807,01/08/2018 00:14:32,Former Dem 2016 Candidate: Let 'Obsessed' Trump Build Wall If It Saves DACA https://t.co/1vzt1dhJzy,0.0,0.0,0.0,1.0,01/07/2018 22:20:00,Letters: The Immigrants Who Deliver Health Care. https://t.co/QCNiBQXRoe,0.4939,0.314,0.0,0.686
46,01/07/2018 06:06:15,May drops plans for fox-hunting vote https://t.co/tjB7Lbo91a,0.0,0.0,0.0,1.0,01/08/2018 00:23:32,"""There's nothing illegal that we did...nothing murky."" RT's editor-in-chief Margarita Simonyan on election meddling… https://t.co/iZRXs4yI5m",0.4449,0.173,0.0,0.827,01/08/2018 01:48:04,"RT @CNNent: #HandmaidsTale wins Best Television Series - Drama. #GoldenGlobes @HandmaidsonHulu
https://t.co/LuhYHym490 https://t.co/2A3tWR9…",0.836,0.441,0.0,0.559,01/08/2018 00:02:31,".@JSchanzer on Iran nuclear deal: ""The Iranians, there's no doubt they got just about everything they possibly coul… https://t.co/SqWLlKOyfr",-0.5719,0.0,0.217,0.783,01/07/2018 22:19:00,Letters: The Met’s New Required Fee for Non-New Yorkers. https://t.co/SF5xSxQXVK,0.0,0.0,0.0,1.0
47,01/07/2018 06:06:15,Northern Forest: Plan to plant 'ribbon of woodland' across England https://t.co/UhDYrBW3qc,0.0,0.0,0.0,1.0,01/07/2018 23:43:01,"Meryl Streep, Michelle Williams, and Amy Poehler are among the eight actresses who are planning to bring gender and… https://t.co/n5PztLckoj",0.0,0.0,0.0,1.0,01/08/2018 01:46:19,RT @CNNent: Sterling K. Brown wins Best Performance by an Actor in a Television Series - Drama for #ThisisUs #GoldenGlobes @SterlingKBrown…,0.836,0.317,0.0,0.683,01/07/2018 23:54:52,"Math teacher accused of multiple sex romps, sending lewd photos to student, sentenced https://t.co/hCwq8lgTdX",-0.3182,0.0,0.216,0.784,01/07/2018 22:18:00,Letter: A Shrimpless State. https://t.co/1tMpGuKWDZ,0.0,0.0,0.0,1.0
48,01/07/2018 01:04:45,Royal photo mum: It's changed our lives https://t.co/WLe1aFXQmt,0.0,0.0,0.0,1.0,01/07/2018 23:20:01,"What if a murder could be predicted? What if police could intervene with a future victim or killer? In Chicago, an… https://t.co/Tti0diIZVQ",-0.9092,0.0,0.403,0.597,01/08/2018 01:44:16,"RT @CNNent: Corrected: Rachel Brosnahan wins Best Performance by an Actress in a TV comedy series for #MrsMaisel. #GoldenGlobes
https://t.c…",0.886,0.394,0.0,0.606,01/07/2018 23:48:23,Celebrities wear black to the #GoldenGlobes to protest sexual harassment in the entertainment industry.… https://t.co/fugBDQxsLr,-0.4019,0.138,0.271,0.591,01/07/2018 22:17:00,Letters: Foster Care and Opioids. https://t.co/iYDbHbP4Hu,0.4939,0.39,0.0,0.61
49,01/07/2018 00:21:28,Desert Island Discs: Black Mirror's Charlie Brooker on his 'goofy' persona https://t.co/jLLSZBIaos,0.0,0.0,0.0,1.0,01/07/2018 23:00:32,"""It makes me not want to fly anywhere and definitely not out of JFK."" Travelers patience wore thin at NYC's JFK Int… https://t.co/irzgie2v1D",0.3565,0.108,0.049,0.843,01/08/2018 01:39:00,A group of A-list actresses brought activists for gender and racial justice to the #GoldenGlobes red carpet https://t.co/klq1SSpFXA,0.5267,0.175,0.0,0.825,01/07/2018 23:37:00,"Feds to seek retrial in Bundy case, as sting of mistrial lingers
 https://t.co/JAoHs6kdF0",0.0,0.0,0.0,1.0,01/07/2018 22:02:00,"The Interpreter: Losing Faith in the State, Some Mexican Towns Quietly Break Away. https://t.co/KouJh5MSAF",0.0516,0.161,0.149,0.69
50,01/07/2018 00:05:53,Acid attacks: Retailers sign up to voluntary ban on acid sales https://t.co/wA5fSPDW8F,-0.7579,0.0,0.394,0.606,01/07/2018 22:41:01,"Obama-era national security experts, Mike Morell and Tom Donilon, offer their insight into where the U.S. stands in… https://t.co/YsupR2WsqN",0.34,0.118,0.0,0.882,01/08/2018 01:34:19,RT @CNNent: Elisabeth Moss wins Best Performance by an Actress in a Television Series - Drama for #HandmaidsTale #GoldenGlobes https://t.co…,0.836,0.331,0.0,0.669,01/07/2018 23:28:29,".@Jamie_Weinstein on calls for Sessions to resign: ""He is an embattled man and I think he's been an embattled attor… https://t.co/LDRZyJnJyI",-0.34,0.0,0.112,0.888,01/07/2018 21:48:00,"Can Sweatcoin, a Hot Fitness App, Keep You Off the Couch?. https://t.co/y2Eyj7hKIz",0.2732,0.174,0.0,0.826
